rating,date,variation,verified_reviews,feedback,lower_text,remove_punc,remove_emoji,tokenized_string,remove_stopword
5,30-Jul-18,Charcoal Fabric,"I sent it to my 85 year old Dad, and he talks to it constantly.",1,"i sent it to my 85 year old dad, and he talks to it constantly.",i sent it to my 85 year old dad and he talks to it constantly,i sent it to my 85 year old dad and he talks to it constantly,"['i', 'sent', 'it', 'to', 'my', '85', 'year', 'old', 'dad', 'and', 'he', 'talks', 'to', 'it', 'constantly']",sent 85 year old dad talks constantly
5,30-Jul-18,Charcoal Fabric,I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times,1,i love it! learning knew things with it eveyday! still figuring out how everything works but so far it's been easy to use and understand. she does make me laugh at times,i love it learning knew things with it eveyday still figuring out how everything works but so far its been easy to use and understand she does make me laugh at times,i love it learning knew things with it eveyday still figuring out how everything works but so far its been easy to use and understand she does make me laugh at times,"['i', 'love', 'it', 'learning', 'knew', 'things', 'with', 'it', 'eveyday', 'still', 'figuring', 'out', 'how', 'everything', 'works', 'but', 'so', 'far', 'its', 'been', 'easy', 'to', 'use', 'and', 'understand', 'she', 'does', 'make', 'me', 'laugh', 'at', 'times']",love learning knew things eveyday still figuring everything works far easy use understand make laugh times
5,30-Jul-18,Oak Finish,"I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!",1,"i purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.she enjoys all the little and big things it can do...alexa play this song, what time is it and where, and how to cook this and that!",i purchased this for my mother who is having knee problems now to give her something to do while trying to over come not getting around so fast like she didshe enjoys all the little and big things it can doalexa play this song what time is it and where and how to cook this and that,i purchased this for my mother who is having knee problems now to give her something to do while trying to over come not getting around so fast like she didshe enjoys all the little and big things it can doalexa play this song what time is it and where and how to cook this and that,"['i', 'purchased', 'this', 'for', 'my', 'mother', 'who', 'is', 'having', 'knee', 'problems', 'now', 'to', 'give', 'her', 'something', 'to', 'do', 'while', 'trying', 'to', 'over', 'come', 'not', 'getting', 'around', 'so', 'fast', 'like', 'she', 'didshe', 'enjoys', 'all', 'the', 'little', 'and', 'big', 'things', 'it', 'can', 'doalexa', 'play', 'this', 'song', 'what', 'time', 'is', 'it', 'and', 'where', 'and', 'how', 'to', 'cook', 'this', 'and', 'that']",purchased mother knee problems give something trying come getting around fast like didshe enjoys little big things doalexa play song time cook
5,30-Jul-18,Charcoal Fabric,"Love, Love, Love!!",1,"love, love, love!!",love love love,love love love,"['love', 'love', 'love']",love love love
5,30-Jul-18,Oak Finish,Just what I expected....,1,just what i expected....,just what i expected,just what i expected,"['just', 'what', 'i', 'expected']",expected
5,30-Jul-18,Heather Gray Fabric,"I love it, wife hates it.",1,"i love it, wife hates it.",i love it wife hates it,i love it wife hates it,"['i', 'love', 'it', 'wife', 'hates', 'it']",love wife hates
5,30-Jul-18,Heather Gray Fabric,Really happy with this purchase.  Great speaker and easy to set up.,1,really happy with this purchase.  great speaker and easy to set up.,really happy with this purchase  great speaker and easy to set up,really happy with this purchase  great speaker and easy to set up,"['really', 'happy', 'with', 'this', 'purchase', 'great', 'speaker', 'and', 'easy', 'to', 'set', 'up']",really happy purchase great speaker easy set
5,30-Jul-18,Heather Gray Fabric,We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,1,we have only been using alexa for a couple of days and are having a lot of fun with our new toy. it like having a new household member! we are trying to learn all the different featues and benefits that come with it.,we have only been using alexa for a couple of days and are having a lot of fun with our new toy it like having a new household member we are trying to learn all the different featues and benefits that come with it,we have only been using alexa for a couple of days and are having a lot of fun with our new toy it like having a new household member we are trying to learn all the different featues and benefits that come with it,"['we', 'have', 'only', 'been', 'using', 'alexa', 'for', 'a', 'couple', 'of', 'days', 'and', 'are', 'having', 'a', 'lot', 'of', 'fun', 'with', 'our', 'new', 'toy', 'it', 'like', 'having', 'a', 'new', 'household', 'member', 'we', 'are', 'trying', 'to', 'learn', 'all', 'the', 'different', 'featues', 'and', 'benefits', 'that', 'come', 'with', 'it']",using alexa couple days lot fun new toy like new household member trying learn different featues benefits come
5,30-Jul-18,Charcoal Fabric,We love the size of the 2nd generation echo. Still needs a little improvement on sound,1,we love the size of the 2nd generation echo. still needs a little improvement on sound,we love the size of the 2nd generation echo still needs a little improvement on sound,we love the size of the 2nd generation echo still needs a little improvement on sound,"['we', 'love', 'the', 'size', 'of', 'the', '2nd', 'generation', 'echo', 'still', 'needs', 'a', 'little', 'improvement', 'on', 'sound']",love size 2nd generation echo still needs little improvement sound
4,30-Jul-18,Sandstone Fabric,"I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)",1,"i liked the original echo. this is the same but shorter and with greater fabric/color choices. i miss the volume ring on top, now it's just the plus/minus buttons. not a big deal but the ring w as comforting. :) other than that, well i do like the use of a standard usb charger /port instead of the previous round pin. other than that, i guess it sounds the same, seems to work the same, still answers to alexa/echo/computer. so what's not to like? :)",i liked the original echo this is the same but shorter and with greater fabriccolor choices i miss the volume ring on top now its just the plusminus buttons not a big deal but the ring w as comforting  other than that well i do like the use of a standard usb charger port instead of the previous round pin other than that i guess it sounds the same seems to work the same still answers to alexaechocomputer so whats not to like ,i liked the original echo this is the same but shorter and with greater fabriccolor choices i miss the volume ring on top now its just the plusminus buttons not a big deal but the ring w as comforting  other than that well i do like the use of a standard usb charger port instead of the previous round pin other than that i guess it sounds the same seems to work the same still answers to alexaechocomputer so whats not to like ,"['i', 'liked', 'the', 'original', 'echo', 'this', 'is', 'the', 'same', 'but', 'shorter', 'and', 'with', 'greater', 'fabriccolor', 'choices', 'i', 'miss', 'the', 'volume', 'ring', 'on', 'top', 'now', 'its', 'just', 'the', 'plusminus', 'buttons', 'not', 'a', 'big', 'deal', 'but', 'the', 'ring', 'w', 'as', 'comforting', 'other', 'than', 'that', 'well', 'i', 'do', 'like', 'the', 'use', 'of', 'a', 'standard', 'usb', 'charger', 'port', 'instead', 'of', 'the', 'previous', 'round', 'pin', 'other', 'than', 'that', 'i', 'guess', 'it', 'sounds', 'the', 'same', 'seems', 'to', 'work', 'the', 'same', 'still', 'answers', 'to', 'alexaechocomputer', 'so', 'whats', 'not', 'to', 'like', '']",liked original echo shorter greater fabriccolor choices miss volume ring top plusminus buttons big deal ring w comforting well like use standard usb charger port instead previous round pin guess sounds seems work still answers alexaechocomputer whats like
5,30-Jul-18,Charcoal Fabric,Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.,1,love the echo and how good the music sounds playing off it. alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify. she is good with amazon music but is lacking in other major programs.,love the echo and how good the music sounds playing off it alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify she is good with amazon music but is lacking in other major programs,love the echo and how good the music sounds playing off it alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify she is good with amazon music but is lacking in other major programs,"['love', 'the', 'echo', 'and', 'how', 'good', 'the', 'music', 'sounds', 'playing', 'off', 'it', 'alexa', 'understands', 'most', 'commands', 'but', 'it', 'is', 'difficult', 'at', 'times', 'for', 'her', 'to', 'find', 'specific', 'playlists', 'or', 'songs', 'on', 'spotify', 'she', 'is', 'good', 'with', 'amazon', 'music', 'but', 'is', 'lacking', 'in', 'other', 'major', 'programs']",love echo good music sounds playing alexa understands commands difficult times find specific playlists songs spotify good amazon music lacking major programs
5,30-Jul-18,Charcoal Fabric,"We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.",1,"we love alexa! we use her to play music, play radio through itunes, play podcasts through anypod, and set reminders. we listen to our flash briefing of news and weather every morning. we rely on our custom lists. we like being able to voice control the volume. we're sure we'll continue to find new uses.sometimes it's a bit frustrating when alexa doesn't understand what we're saying.",we love alexa we use her to play music play radio through itunes play podcasts through anypod and set reminders we listen to our flash briefing of news and weather every morning we rely on our custom lists we like being able to voice control the volume were sure well continue to find new usessometimes its a bit frustrating when alexa doesnt understand what were saying,we love alexa we use her to play music play radio through itunes play podcasts through anypod and set reminders we listen to our flash briefing of news and weather every morning we rely on our custom lists we like being able to voice control the volume were sure well continue to find new usessometimes its a bit frustrating when alexa doesnt understand what were saying,"['we', 'love', 'alexa', 'we', 'use', 'her', 'to', 'play', 'music', 'play', 'radio', 'through', 'itunes', 'play', 'podcasts', 'through', 'anypod', 'and', 'set', 'reminders', 'we', 'listen', 'to', 'our', 'flash', 'briefing', 'of', 'news', 'and', 'weather', 'every', 'morning', 'we', 'rely', 'on', 'our', 'custom', 'lists', 'we', 'like', 'being', 'able', 'to', 'voice', 'control', 'the', 'volume', 'were', 'sure', 'well', 'continue', 'to', 'find', 'new', 'usessometimes', 'its', 'a', 'bit', 'frustrating', 'when', 'alexa', 'doesnt', 'understand', 'what', 'were', 'saying']",love alexa use play music play radio itunes play podcasts anypod set reminders listen flash briefing news weather every morning rely custom lists like able voice control volume sure well continue find new usessometimes bit frustrating alexa doesnt understand saying
4,30-Jul-18,Heather Gray Fabric,"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",1,"have only had it set up for a few days. still adding smart home devices to it. the speaker is great for playing music. i like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",have only had it set up for a few days still adding smart home devices to it the speaker is great for playing music i like the size we have it stationed on the kitchen counter and it’s not intrusive to look at,have only had it set up for a few days still adding smart home devices to it the speaker is great for playing music i like the size we have it stationed on the kitchen counter and it’s not intrusive to look at,"['have', 'only', 'had', 'it', 'set', 'up', 'for', 'a', 'few', 'days', 'still', 'adding', 'smart', 'home', 'devices', 'to', 'it', 'the', 'speaker', 'is', 'great', 'for', 'playing', 'music', 'i', 'like', 'the', 'size', 'we', 'have', 'it', 'stationed', 'on', 'the', 'kitchen', 'counter', 'and', 'it', 's', 'not', 'intrusive', 'to', 'look', 'at']",set days still adding smart home devices speaker great playing music like size stationed kitchen counter it’s intrusive look
5,30-Jul-18,Charcoal Fabric,I love it. It plays my sleep sounds immediately when I ask,1,i love it. it plays my sleep sounds immediately when i ask,i love it it plays my sleep sounds immediately when i ask,i love it it plays my sleep sounds immediately when i ask,"['i', 'love', 'it', 'it', 'plays', 'my', 'sleep', 'sounds', 'immediately', 'when', 'i', 'ask']",love plays sleep sounds immediately ask
3,30-Jul-18,Sandstone Fabric,"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all.  Overall, not a big improvement over the 1st generation.",1,"i got a second unit for the bedroom, i was expecting the sounds to be improved but i didnt really see a difference at all.  overall, not a big improvement over the 1st generation.",i got a second unit for the bedroom i was expecting the sounds to be improved but i didnt really see a difference at all  overall not a big improvement over the 1st generation,i got a second unit for the bedroom i was expecting the sounds to be improved but i didnt really see a difference at all  overall not a big improvement over the 1st generation,"['i', 'got', 'a', 'second', 'unit', 'for', 'the', 'bedroom', 'i', 'was', 'expecting', 'the', 'sounds', 'to', 'be', 'improved', 'but', 'i', 'didnt', 'really', 'see', 'a', 'difference', 'at', 'all', 'overall', 'not', 'a', 'big', 'improvement', 'over', 'the', '1st', 'generation']",got second unit bedroom expecting sounds improved didnt really see difference overall big improvement 1st generation
5,30-Jul-18,Sandstone Fabric,Amazing product,1,amazing product,amazing product,amazing product,"['amazing', 'product']",amazing product
5,30-Jul-18,Charcoal Fabric,"I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge.",1,"i love my echo. it's easy to operate, loads of fun.it is everything as advertised. i use it mainly to play my favorite tunes and test alexa's knowledge.",i love my echo its easy to operate loads of funit is everything as advertised i use it mainly to play my favorite tunes and test alexas knowledge,i love my echo its easy to operate loads of funit is everything as advertised i use it mainly to play my favorite tunes and test alexas knowledge,"['i', 'love', 'my', 'echo', 'its', 'easy', 'to', 'operate', 'loads', 'of', 'funit', 'is', 'everything', 'as', 'advertised', 'i', 'use', 'it', 'mainly', 'to', 'play', 'my', 'favorite', 'tunes', 'and', 'test', 'alexas', 'knowledge']",love echo easy operate loads funit everything advertised use mainly play favorite tunes test alexas knowledge
5,30-Jul-18,Charcoal Fabric,Sounds great!! Love them!,1,sounds great!! love them!,sounds great love them,sounds great love them,"['sounds', 'great', 'love', 'them']",sounds great love
4,30-Jul-18,Charcoal Fabric,"Fun item to play with and get used to using.  Sometimes has hard time answering the questions you ask, but I think it will be better.",1,"fun item to play with and get used to using.  sometimes has hard time answering the questions you ask, but i think it will be better.",fun item to play with and get used to using  sometimes has hard time answering the questions you ask but i think it will be better,fun item to play with and get used to using  sometimes has hard time answering the questions you ask but i think it will be better,"['fun', 'item', 'to', 'play', 'with', 'and', 'get', 'used', 'to', 'using', 'sometimes', 'has', 'hard', 'time', 'answering', 'the', 'questions', 'you', 'ask', 'but', 'i', 'think', 'it', 'will', 'be', 'better']",fun item play get used using sometimes hard time answering questions ask think better
5,30-Jul-18,Charcoal Fabric,Just like the other one,1,just like the other one,just like the other one,just like the other one,"['just', 'like', 'the', 'other', 'one']",like one
5,30-Jul-18,Sandstone Fabric,Still learning all the capabilities...but so far pretty pretty pretty good,1,still learning all the capabilities...but so far pretty pretty pretty good,still learning all the capabilitiesbut so far pretty pretty pretty good,still learning all the capabilitiesbut so far pretty pretty pretty good,"['still', 'learning', 'all', 'the', 'capabilitiesbut', 'so', 'far', 'pretty', 'pretty', 'pretty', 'good']",still learning capabilitiesbut far pretty pretty pretty good
4,30-Jul-18,Charcoal Fabric,I like it,1,i like it,i like it,i like it,"['i', 'like', 'it']",like
5,30-Jul-18,Sandstone Fabric,"She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great",1,"she works well. needs a learning command  for unique, owners and users like. alexa “learn” tasha’s birthday.  or alexa “learn” my definition of fine. etc. other than that she is great",she works well needs a learning command  for unique owners and users like alexa “learn” tasha’s birthday  or alexa “learn” my definition of fine etc other than that she is great,she works well needs a learning command  for unique owners and users like alexa “learn” tasha’s birthday  or alexa “learn” my definition of fine etc other than that she is great,"['she', 'works', 'well', 'needs', 'a', 'learning', 'command', 'for', 'unique', 'owners', 'and', 'users', 'like', 'alexa', 'learn', 'tasha', 's', 'birthday', 'or', 'alexa', 'learn', 'my', 'definition', 'of', 'fine', 'etc', 'other', 'than', 'that', 'she', 'is', 'great']",works well needs learning command unique owners users like alexa “learn” tasha’s birthday alexa “learn” definition fine etc great
3,30-Jul-18,Heather Gray Fabric,The speakers sound pretty good for being so small and setup is pretty easy.  I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units.  I know I've done it correctly but they won't sync.  That was my primary motivation for purchasing multiple units.,1,the speakers sound pretty good for being so small and setup is pretty easy.  i bought two and the reason i only rate it a 3 is i have followed the instructions for synching music to both units.  i know i've done it correctly but they won't sync.  that was my primary motivation for purchasing multiple units.,the speakers sound pretty good for being so small and setup is pretty easy  i bought two and the reason i only rate it a 3 is i have followed the instructions for synching music to both units  i know ive done it correctly but they wont sync  that was my primary motivation for purchasing multiple units,the speakers sound pretty good for being so small and setup is pretty easy  i bought two and the reason i only rate it a 3 is i have followed the instructions for synching music to both units  i know ive done it correctly but they wont sync  that was my primary motivation for purchasing multiple units,"['the', 'speakers', 'sound', 'pretty', 'good', 'for', 'being', 'so', 'small', 'and', 'setup', 'is', 'pretty', 'easy', 'i', 'bought', 'two', 'and', 'the', 'reason', 'i', 'only', 'rate', 'it', 'a', '3', 'is', 'i', 'have', 'followed', 'the', 'instructions', 'for', 'synching', 'music', 'to', 'both', 'units', 'i', 'know', 'ive', 'done', 'it', 'correctly', 'but', 'they', 'wont', 'sync', 'that', 'was', 'my', 'primary', 'motivation', 'for', 'purchasing', 'multiple', 'units']",speakers sound pretty good small setup pretty easy bought two reason rate 3 followed instructions synching music units know ive done correctly wont sync primary motivation purchasing multiple units
5,30-Jul-18,Charcoal Fabric,This device is awesome!,1,this device is awesome!,this device is awesome,this device is awesome,"['this', 'device', 'is', 'awesome']",device awesome
5,30-Jul-18,Charcoal Fabric,I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,1,i bought this to compare the speaker quality to our first generation speaker and i like the sound better.  i will ship this to my daughter though because i like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,i bought this to compare the speaker quality to our first generation speaker and i like the sound better  i will ship this to my daughter though because i like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now,i bought this to compare the speaker quality to our first generation speaker and i like the sound better  i will ship this to my daughter though because i like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now,"['i', 'bought', 'this', 'to', 'compare', 'the', 'speaker', 'quality', 'to', 'our', 'first', 'generation', 'speaker', 'and', 'i', 'like', 'the', 'sound', 'better', 'i', 'will', 'ship', 'this', 'to', 'my', 'daughter', 'though', 'because', 'i', 'like', 'the', 'fact', 'that', 'my', 'first', 'generation', 'has', 'a', 'chargeable', 'base', 'that', 'we', 'bought', 'which', 'keeps', 'it', 'more', 'mobile', 'and', 'she', 'needs', 'a', 'better', 'sound', 'than', 'what', 'she', 'has', 'now']",bought compare speaker quality first generation speaker like sound better ship daughter though like fact first generation chargeable base bought keeps mobile needs better sound
5,30-Jul-18,Sandstone Fabric,"Love my Echo. Still learning all the things it will do. Wasn’t able to follow instructions included in the package, but found a great one on U-Tube.",1,"love my echo. still learning all the things it will do. wasn’t able to follow instructions included in the package, but found a great one on u-tube.",love my echo still learning all the things it will do wasn’t able to follow instructions included in the package but found a great one on utube,love my echo still learning all the things it will do wasn’t able to follow instructions included in the package but found a great one on utube,"['love', 'my', 'echo', 'still', 'learning', 'all', 'the', 'things', 'it', 'will', 'do', 'wasn', 't', 'able', 'to', 'follow', 'instructions', 'included', 'in', 'the', 'package', 'but', 'found', 'a', 'great', 'one', 'on', 'utube']",love echo still learning things wasn’t able follow instructions included package found great one utube
4,30-Jul-18,Heather Gray Fabric,Speaker is better than 1st generation Echo,1,speaker is better than 1st generation echo,speaker is better than 1st generation echo,speaker is better than 1st generation echo,"['speaker', 'is', 'better', 'than', '1st', 'generation', 'echo']",speaker better 1st generation echo
5,30-Jul-18,Charcoal Fabric,"This thing is way cool!  You should get one.  If you want to be cool, that is.",1,"this thing is way cool!  you should get one.  if you want to be cool, that is.",this thing is way cool  you should get one  if you want to be cool that is,this thing is way cool  you should get one  if you want to be cool that is,"['this', 'thing', 'is', 'way', 'cool', 'you', 'should', 'get', 'one', 'if', 'you', 'want', 'to', 'be', 'cool', 'that', 'is']",thing way cool get one want cool
